canonical_paper_id,title,venue,year,paper_type,doi
deming-dynarski_2008_the-lengthening-of-childhood,The Lengthening of Childhood,Journal of Economic Perspectives,2008,published,
deming-figlio_2016_accountability-in-us-higher-education-applying-lessons-from-,Accountability in U.S. Higher Education: Applying Lessons from K-12 Experience to Higher Education,Journal of Economic Perspectives,2016,published,
deming-goldin-katz-yuchtman_2015_can-online-learning-bend-the-cost-curve-of-higher-education,Can Online Learning Bend the Cost Curve of Higher Education?,American Economic Review Papers and Proceedings (May),2015,published,
deming-goldin-katz-yuchtman_2015_can-online-learning-bend-the-education-cost-curve,Can Online Learning Bend the Education Cost Curve?,American Economic Review Papers and Proceedings,2015,published,
deming-goldin-katz-yuchtman_2015_can-online-learning-bend-the-higher-education-cost-curve,Can Online Learning Bend the Higher Education Cost Curve?,American Economic Review Papers & Proceedings,2015,published,
deming-goldin-katz_2012_the-forprofit-postsecondary-education-sector-nimble-critters,The For-Profit Postsecondary Education Sector: Nimble Critters or Agile Predators?,Journal of Economic Perspectives,2012,published,
deming-goldin-katz_2012_the-forprofit-postsecondary-school-sector-nimble-creatures-o,The For-Profit Postsecondary School Sector: Nimble Creatures or Agile Predators?,Journal of Economic Perspectives,2012,published,
deming-goldin-katz_2012_the-forprofit-postsecondary-school-sector-nimble-critters-or,The For-Profit Post-Secondary School Sector: Nimble Critters or Agile Predators?,"Journal of Economic Perspectives 26 (Winter), pp 139-64",2012,published,
deming-goldin-katz_2013_for-profit-colleges,For Profit Colleges,The Future of Children 23 (Spring),2013,published,
deming-goldin-katz_2013_forprofit-colleges,For-Profit Colleges,Future of Children,2013,published,
deming-hastings-kane-staiger_2014_school-choice-school-quality-and-postsecondary-attainment,"School Choice, School Quality and Postsecondary Attainment",American Economic Review,2014,published,
deming-kahn_2018_skill-requirements-across-firms-and-labor-markets-evidence-f,Skill Requirements across Firms and Labor Markets: Evidence from Job Postings for Professionals,Journal of Labor Economics,2018,published,
deming-noray_2020_earnings-dynamics-changing-job-skills-and-stem-careers,"Earnings Dynamics, Changing Job Skills, and STEM Careers",Quarterly Journal of Economics,2020,published,
deming-silliman_2025_skills-and-human-capital-in-the-labor-market,Skills and Human Capital in the Labor Market,Handbook of Labor Economics,2025,published,
deming-walters_nodate_the-impacts-of-state-budget-cuts-on-us-postsecondary-attainm,The Impacts of State Budget Cuts on U.S. Postsecondary Attainment,,,working,
deming-weidmann-xu_nodate_measuring-human-leadership-skill-with-ai-agents,Measuring Human Leadership Skill with AI Agents,,,working,
deming-weidmann_2021_team-players-how-social-skills-improve-group-performance,Team Players: How Social Skills Improve Group Performance,Econometrica,2021,published,
deming_2009_early-childhood-intervention-and-lifecycle-skill-development,Early Childhood Intervention and Life-Cycle Skill Development: Evidence from Head Start,American Economic Journal: Applied Economics,2009,published,
deming_2011_better-schools-less-crime,"Better Schools, Less Crime?",Quarterly Journal of Economics,2011,published,
deming_2014_using-school-choice-lotteries-to-test-measures-of-school-eff,Using School Choice Lotteries to Test Measures of School Effectiveness,American Economic Review Papers & Proceedings,2014,published,
deming_2017_the-growing-importance-of-social-skills-in-the-labor-market,The Growing Importance of Social Skills in the Labor Market,Quarterly Journal of Economics,2017,published,
deming_2022_four-facts-about-human-capital,Four Facts about Human Capital,Journal of Economic Perspectives,2022,published,
deming_2023_multidimensional-human-capital-and-the-wage-structure,Multidimensional Human Capital and the Wage Structure,Handbook of the Economics of Education,2023,published,
deming_nodate_the-growing-importance-of-decisionmaking-on-the-job,The Growing Importance of Decision-Making on the Job,,,working,
deming_nodate_why-do-wages-grow-faster-for-educated-workers,Why Do Wages Grow Faster for Educated Workers?,Journal of Labor Economics,,published,
denrell-prelec-rahmandad_2021_what-makes-dynamic-strategic-problems-difficult-evidence-fro,What makes dynamic strategic problems difficult? Evidence from an experimental study,Strategic Management Journal,2021,published,
depaula-liu-tamer_2026_prediction-sets-and-conformal-inference-with-censored-outcom,Prediction Sets and Conformal Inference with Censored Outcomes,,2026,working,
depaula-tamer-voia_2020_the-econometrics-of-networks,The Econometrics of Networks,Advances in Econometrics,2020,published,
dessauer)-jones-moscona-olken_nodate_with-or-without-u-binning-bias-and-the-causal-effects-of-tem,With or Without U? Binning Bias and the Causal Effects of Temperature Extremes,,,published,
devi-fryer-holden_nodate_vertical-versus-horizontal-incentives-in-education-evidence-,Vertical versus Horizontal Incentives in Education: Evidence from Randomized Trials,,,working,
devroye-freeman_2002_does-inequality-in-skills-explain-inequality-of-earnings-acr,Does Inequality in Skills Explain Inequality of Earnings Across Advanced Countries?,Centre for Economic Performance,2002,published,
dewatripont-hansen-harris-laibson-stephenturnovsky_2002_hyperbolic-discounting-and-consumption,Hyperbolic Discounting and Consumption,"Advances in Economics and Econometrics: Theory and Applications, Volume 1",2002,published,
dewatripont-maskin-roland_2000_soft-budget-constraints-and-transition,Soft Budget Constraints and Transition,"Planning, Shortage and Transformation (essays in honor of Janos Kornai)",2000,published,
dewatripont-maskin_1990_contract-renegotiation-in-models-of-asymmetric-information,Contract Renegotiation in Models of Asymmetric Information,European Economic Review,1990,published,
dewatripont-maskin_1995_contractual-contingencies-and-renegotiation,Contractual Contingencies and Renegotiation,Rand Journal of Economics,1995,published,
dewatripont-maskin_1995_credit-and-efficiency-in-centralized-and-decentralized-econo,Credit and Efficiency in Centralized and Decentralized Economies,Review of Economic Studies,1995,published,
dherbecourt-fack-landais-stantcheva_2021_repenser-lheritage-in-french,Repenser l'héritage [in French],Conseil d'Analyse Economique,2021,published,
diamond-dickstein-mcquade-persson_2021_insurance-without-commitment-evidence-from-aca-marketplaces,Insurance without Commitment: Evidence from ACA Marketplaces,,2021,working,
diamond-freeman_2001_liking-the-workplace-you-have-the-incumbency-effect-in-prefe,Liking the Workplace You Have: The Incumbency Effect in Preferences toward Unions,,2001,published,
diamond-freeman_2001_what-workers-want-from-workplace-organisations-a-report-to-t,What Workers Want from Workplace Organisations: A Report to the TUC's Promoting Trade Unionism Task Group,TUC,2001,published,
diamond-freeman_2001_will-unionism-prosper-in-cyberspace-the-promise-of-the-inter,Will Unionism Prosper in Cyberspace? The Promise of the Internet for Employee Organization,British Journal of Industrial Relations,2001,published,
diamond-freeman_2003_young-workers-and-trade-unions,Young Workers and Trade Unions,Representing Workers: Union Recognition and Membership in Britain: Leverhulme Series Volume 1 on The Future of Trade Unions,2003,published,
diamond-gaubert_2022_spatial-sorting-and-inequality,Spatial Sorting and Inequality,Annual Review of Economics,2022,published,
diamond-guren-tan_2025_the-effect-of-foreclosures-on-homeowners-tenants-and-landlor,"The Effect of Foreclosures on Homeowners, Tenants, and Landlords",,2025,working,
diamond-huang-mcquade_nodate_the-unequal-effects-of-upzoning-evidence-from-cook-county,The Unequal Effects of Up-Zoning: Evidence from Cook County,,,working,
diamond-maskin_1979_an-equilibrium-analysis-of-search-and-breach-of-contracts-i-,"An Equilibrium Analysis of Search and Breach of Contracts, I: Steady States",Bell Journal of Economics,1979,published,
diamond-maskin_1981_an-equilibrium-analysis-of-search-and-breach-of-contract-ii-,"An Equilibrium Analysis of Search and Breach of Contract, II: A Non-Steady Example",Journal of Economic Theory,1981,published,
diamond-mcquade-qian_2019_the-effects-of-rent-control-expansion-on-tenants-landlords-a,"The Effects of Rent Control Expansion on Tenants, Landlords, and Inequality: Evidence from San Francisco",American Economic Review,2019,published,
diamond-mcquade-qian_2019_who-pays-for-rent-control-heterogeneous-landlord-response-to,Who Pays for Rent Control? Heterogeneous Landlord Response to San Francisco's Rent Control Expansion,AEA Papers and Proceedings,2019,published,
diamond-mcquade-qian_nodate_who-benefits-from-rent-control-the-equilibrium-consequences-,Who Benefits from Rent Control? The Equilibrium Consequences of San Francisco's Rent Control Expansion,,,working,
diamond-mcquade_2019_who-wants-affordable-housing-in-their-backyard-an-equilibriu,Who Wants Affordable Housing in their Backyard? An Equilibrium Analysis of Low Income Property Development,Journal of Political Economy,2019,published,
diamond-moretti_2026_where-is-standard-of-living-the-highest-local-prices-and-the,Where is Standard of Living the Highest? Local Prices and the Geography of Consumption,,2026,working,
diamond-pakes_nodate_a-contractarian-cpi,A Contractarian CPI,,,working,
diamond-persson_2017_the-longterm-consequences-of-teacher-discretion-in-grading-o,The Long-term Consequences of Teacher Discretion in Grading of High-Stakes Tests,,2017,working,
diamond-serrato_2025_spatial-sorting-and-inequality,Spatial Sorting and Inequality,Handbook of Regional and Urban Economics,2025,published,
diamond_2016_the-determinants-and-welfare-implications-of-us-workers-dive,The Determinants and Welfare Implications of US Workers' Diverging Location Choices by Skill: 1980-2000,American Economic Review,2016,published,
diamond_2017_housing-supply-elasticity-and-rent-extraction-by-state-and-l,Housing Supply Elasticity and Rent Extraction by State and Local Governments,American Economic Journal: Economic Policy,2017,published,
diamond_2024_affordability-of-owneroccupied-housing-across-us-cities,Affordability of Owner-Occupied Housing Across US Cities,AEA Papers and Proceedings,2024,published,
diamond_2024_racial-differences-in-the-total-rate-of-return-on-owneroccup,Racial Differences in the Total Rate of Return on Owner-Occupied Housing,,2024,working,
dickens-katz-lang-summers_1989_employee-crime-and-the-monitoring-puzzle,Employee Crime and the Monitoring Puzzle,Journal of Labor Economics,1989,published,
dickens-katz_1987_interindustry-wage-differences-and-industry-characteristics,Interindustry Wage Differences and Industry Characteristics,Unemployment and the Structure of Labor Markets,1987,published,
dickens-katz_1987_interindustry-wage-differences-and-theories-of-wage-determin,Inter-Industry Wage Differences and Theories of Wage Determination,,1987,working,
djankov-ganser-mcliesh-ramalho-shleifer_2010_the-effect-of-corporate-taxes-on-investment-and-entrepreneur,The Effect of Corporate Taxes on Investment and Entrepreneurship,American Economic Journal: Macroeconomics,2010,published,
djankov-glaesar-perotti-shleifer_2022_property-rights-and-urban-form,Property Rights and Urban Form,The Journal of Law and Economics,2022,published,
djankov-glaeser-laporta-lopez-de-silanes-shleifer_2003_the-new-comparative-economics,The new comparative economics,Journal of Comparative Economics,2003,published,
djankov-glaeser-perotti-schleifer_2021_property-rights-and-urban-form,Property Rights and Urban Form,National Bureau of Economic Research,2021,published,
djankov-hart-mcliesh-shleifer_2008_debt-enforcement-around-the-world,Debt Enforcement Around the World,Journal of Political Economy,2008,published,
djankov-laporta-lopez-de-silanes-shleifer_2002_the-regulation-of-entry,The Regulation of Entry,Quarterly Journal of Economics,2002,published,
djankov-laporta-lopez-de-silanes-shleifer_2003_courts,Courts,Quarterly Journal of Economics,2003,published,
djankov-laporta-lopez-de-silanes-shleifer_2008_the-law-and-economics-of-selfdealing,The Law and Economics of Self-Dealing,Journal of Financial Economics,2008,published,
djankov-laporta-lopez-de-silanes-shleifer_2010_disclosure-by-politicians,Disclosure by Politicians,American Economic Journal: Applied Economics,2010,published,
djankov-mcliesh-nenova-shleifer_2003_who-owns-the-media,Who Owns the Media?,Journal of Law and Economics,2003,published,
djankov-mcliesh-shleifer_2007_private-credit-in-129-countries,Private Credit in 129 Countries,Journal of Financial Economics,2007,published,
dobbie-fryer_2011_are-highquality-schools-enough-to-increase-achievement-among,Are High-Quality Schools Enough to Increase Achievement Among the Poor? Evidence from the Harlem Children's Zone,American Economic Journal: Applied Economics,2011,published,
dobbie-fryer_2013_getting-beneath-the-veil-of-effective-schools-evidence-from-,Getting Beneath the Veil of Effective Schools: Evidence from New York City,American Economic Journal: Applied Economics,2013,published,
dobbie-fryer_2014_the-impact-of-attending-a-school-with-highachieving-peers-ev,The Impact of Attending a School with High-Achieving Peers: Evidence from New York City Exam Schools,American Economic Journal: Applied Economics (July 2014),2014,published,
dobbie-fryer_2015_the-impact-of-voluntary-youth-service-on-future-outcomes-evi,The Impact of Voluntary Youth Service on Future Outcomes: Evidence from Teach For America,"B. E. Journal of Economic Analysis and Policy, Advances Tier",2015,published,
dobbie-fryer_2015_the-mediumterm-impacts-of-highachieving-charter-schools,The Medium-Term Impacts of High-Achieving Charter Schools,Journal of Political Economy,2015,published,
dobbie-fryer_nodate_charter-schools-and-labor-market-outcomes,Charter Schools and Labor Market Outcomes,Journal of Labor Economics,,published,
dohmen-enke-falk-huffman-sunde_2022_patience-and-comparative-development,Patience and Comparative Development,Review of Economic Studies,2022,published,
domash-faberman-mueller-sahin-summers_2022_measuring-the-tightness-of-the-latecovid-labor-market,Measuring the Tightness of the Late-COVID Labor Market,(2022),2022,published,
domash-summers_2022_how-tight-are-us-labor-markets,How Tight Are U.S. Labor Markets?,,2022,working,
donaldson_2010_can-openness-mitigate-the-effects-of-weather-shocks-evidence,Can Openness Mitigate the Effects of Weather Shocks? Evidence from India’s Famine Era,American Economic Review: Papers and Proceedings,2010,published,
donaldson_2012_ricardos-theory-of-comparative-advantage-old-idea-new-eviden,"Ricardo’s Theory of Comparative Advantage: Old Idea, New Evidence",American Economic Review: Papers and Proceedings,2012,published,
donaldson_2012_what-goods-do-countries-trade-a-quantitative-exploration-of-,What Goods Do Countries Trade? A Quantitative Exploration of Ricardo’s Ideas,Review of Economic Studies,2012,published,
donaldson_2015_comparative-advantage-and-optimal-trade-policy,Comparative Advantage and Optimal Trade Policy,Quarterly Journal of Economics,2015,published,
donaldson_2015_the-gains-from-market-integration,The Gains from Market Integration,Annual Review of Economics,2015,published,
donaldson_2016_evolving-comparative-advantage-and-the-impact-of-climate-cha,Evolving Comparative Advantage and the Impact of Climate Change in Agricultural Markets: Evidence from 1.7 Million Fields around the Earth,Journal of Political Economy,2016,published,
donaldson_2016_railroads-and-american-economic-growth-a-market-access-appro,Railroads and American Economic Growth: a “Market Access” Approach,Quarterly Journal of Economics,2016,published,
donaldson_2016_the-view-from-above-applications-of-satellite-data-in-econom,The View from Above: Applications of Satellite Data in Economics,Journal of Economic Perspectives,2016,published,
donaldson_2017_nonparametric-counterfactual-predictions-in-neoclassical-mod,Nonparametric Counterfactual Predictions in Neoclassical Models of International Trade,American Economic Review,2017,published,
donaldson_2018_railroads-of-the-raj-estimating-the-impact-of-transportation,Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,American Economic Review,2018,published,
donaldson_2019_the-elusive-procompetitive-effects-of-trade,The Elusive Pro-Competitive Effects of Trade,Review of Economic,2019,published,
donaldson_2019_the-more-we-die-the-more-we-sell-a-simple-test-of-the-homema,"The More We Die, The More We Sell? A Simple Test of the Home-Market Effect",Quarterly Journal of Economics,2019,published,
donaldson_2022_blending-theory-and-data-a-space-odyssey,Blending Theory and Data: A Space Odyssey,Journal of Economic Perspectives,2022,published,
donaldson_2022_imports-exports-and-earnings-inequality-measures-of-exposure,"Imports, Exports, and Earnings Inequality: Measures of Exposure and Estimates of Incidence",Quarterly Journal of Economics,2022,published,
donaldson_2023_ghosting-the-tax-authority-fake-firms-and-tax-fraud,Ghosting the Tax Authority: Fake Firms and Tax Fraud,American Economic Review: Insights,2023,published,
donaldson_2025_putting-quantitative-models-to-the-test-an-application-to-th,Putting Quantitative Models to the Test: An Application to the US-China Trade War,Quarterly Journal of Economics,2025,published,
donaldson_2025_the-textbook-case-for-industrial-policy-theory-meets-data,The Textbook Case for Industrial Policy: Theory Meets Data,Journal of Political Economy,2025,published,
donaldson_nodate_a-world-trading-system-for-whom-evidence-from-global-tariffs,A World Trading System For Whom? Evidence from Global Tariffs,Quarterly Journal of Economics,,published,
donaldson_nodate_handbook-of-regional-and-urban-economics-volume-6,Handbook of Regional and Urban Economics (Volume 6),,,published,
donaldson_nodate_how-large-are-the-gains-from-economic-integration-theory-and,"How Large Are the Gains from Economic Integration? Theory and Evidence from U.S. Agriculture, 1880-1997",Econometrica,,published,
donaldson_nodate_misallocation-in-firm-production-a-nonparametric-analysis-us,Misallocation in Firm Production: A Nonparametric Analysis Using Procurement Lotteries,American Economic Review,,published,
donaldson_nodate_persistence-and-path-dependence-in-the-spatial-economy,Persistence and Path Dependence in the Spatial Economy,Journal of Political Economy,,published,
donaldson_nodate_quantifying-the-sensitivity-of-quantitative-trade-models,Quantifying the Sensitivity of Quantitative Trade Models,,,published,
donaldson_nodate_whos-getting-globalized-the-size-and-implications-of-intrana,Who’s Getting Globalized? The Size and Implications of Intranational Trade Costs,Econometrica,,published,
donaldson_nodate_why-is-trade-not-free-a-revealed-preference-approach,Why is Trade Not Free? A Revealed Preference Approach,Econometrica,,published,
doornik-harvey-koopman-shephard_1995_stamp-structural-time-series-analyser-modeller-and-predictor,"STAMP: Structural Time Series Analyser, Modeller and Predictor",Timberlake Consultants Press,1995,published,
doornik-hendry-shephard_2002_computationallyintensive-econometrics-using-a-distributed-ma,Computationally-intensive econometrics using a distributed matrix-programming,"Philosophical Transactions of the Royal Society of London, Series A",2002,published,
doornik-hendry-shephard_2006_parallel-computation-in-econometrics-a-simplified-approach,Parallel computation in econometrics: a simplified approach,Handbook of Parallel Computing and Statistics,2006,published,
doornik-koopman-shephard_1999_statistical-algorithms-for-models-in-state-space-form-using-,Statistical Algorithms for Models in State Space Form using SsfPack 2.2,Econometrics Journal,1999,published,
doornik-koopman-shephard_2008_statistical-algorithms-for-models-in-state-space-form-ssfpac,Statistical Algorithms for Models in State Space Form: SsfPack 3.0,Timberlake Consultants Press,2008,published,
doraszelski-lewis-pakes_2018_just-starting-out-learning-and-equilibrium-in-a-new-market,Just Starting Out: Learning and Equilibrium in a New Market,American Economic Review,2018,published,
doraszelski-pakes_2007_a-framework-for-applied-dynamic-analysis-in-io,A Framework for Applied Dynamic Analysis in IO,The Handbook of Industrial Organization,2007,published,
dosi-freeman-pereira-roventini-virgillito_2020_the-impact-of-deunionization-on-the-growth-and-dispersion-of,"The impact of deunionization on the growth and dispersion of productivity and pay"", NBER WP 26634 (January)",,2020,working,
dosi-freeman-pereira-roventini-virgilllito_2021_impact-of-deunionization-on-growth-and-dispersion-of-product,Impact of Deunionization on Growth and Dispersion of Productivity and Pay,Industrial and Corporate Change,2021,published,
doucouliagos-freeman-laroche-stanley_2018_how-credible-is-trade-union-research-forty-years-of-evidence,How Credible is Trade Union Research? Forty Years of Evidence on the Monopoly-Voice Trade-Off,Industrial and Labor Relations Review,2018,published,
doucouliagos-freeman-laroche_2017_the-economics-of-trade-unions-a-study-of-a-research-field-an,The Economics of Trade Unions: A Study of a Research Field and Its Findings,Routledge,2017,published,
doyle)-finkelstein-taubman-zhou_2020_initial-economic-damage-from-the-covid19-pandemic-in-the-uni,Initial economic damage from the COVID-19 pandemic in the United States is more widespread across ages and geographies than initial mortality impacts,Proceedings of the National Academy of Sciences,2020,published,
dr\`eze-sen_1989_hunger-and-public-action,Hunger and Public Action,Clarendon Press,1989,published,
dr\`eze-sen_1995_basic-education-as-a-political-issue,Basic Education as a Political Issue,Journal of Educational Planning and Administration,1995,published,
dr\`eze-sen_1995_india-economic-development-and-social-opportunity,India: Economic Development and Social Opportunity,Clarendon Press,1995,published,
dr\`eze-sen_2002_india-development-and-participation,India: Development and Participation,Oxford University Press,2002,published,
drago-hart-lopez-de-silanes-moore_1997_a-new-bankruptcy-procedure-that-uses-multiple-auctions,A New Bankruptcy Procedure That Uses Multiple Auctions,"European Economic Review, Papers and Proceedings",1997,published,
dray-landais-stantcheva_2023_wealth-and-property-taxation-in-the-united-states,Wealth and Property Taxation in the United States,,2023,working,
drerup-enke-gaudecker_2017_the-precision-of-subjective-data-and-the-explanatory-power-o,The Precision of Subjective Data and the Explanatory Power of Economic Models,Journal of Econometrics,2017,published,
dreyfuss-heffetz-rabin_2022_expectationsbased-loss-aversion-may-help-explain-seemingly-d,Expectations-Based Loss Aversion May Help Explain Seemingly Dominated Choices in Strategy-Proof Mechanisms,American Economic Journal: Microeconomics,2022,published,
dryden-peterson-hammond-lennes-letourneau-pathak-rubin-sonmez-unver_2021_a-novel-approach-to-equitable-distribution-of-scarce-therape,A Novel Approach to Equitable Distribution of Scarce Therapeutics,"CHEST Journal, Vol",2021,published,
du-freeman-tong-zhang-zhuge_2019_do-financial-constraints-curb-firms-efforts-to-control-pollu,Do Financial Constraints Curb Firm's Efforts to Control Pollution? Evidence from Chinese Manufacturing Firms,Journal of Cleaner Production,2019,published,
dube-freeman_2000_shared-compensation-systems-and-decisionmaking-in-the-us-job,Shared Compensation Systems and Decision-Making in the US Job Market,Incomes and Productivity in North America,2000,published,
dube-freeman_2009_complementarity-of-shared-compensation-and-decisionmaking-sy,Complementarity of Shared Compensation and Decision-Making Systems: Evidence from the American Labor Market,Shared Capitalism: The Economic Issues,2009,published,
dubois-pakes_nodate_pharmaceutical-advertising-in-dynamic-equilibrium,Pharmaceutical Advertising in Dynamic Equilibrium,,,published,
duckworth-laibson-milkman_2019_beyond-willpower-strategies-for-reducing-failures-of-selfcon,Beyond Willpower: Strategies for Reducing Failures of Self-Control,Psychological Science in the Public Interest,2019,published,
ducos-green-laffont_1982_a-test-of-the-equilibrium-hypothesis-based-on-inventories-a-,A Test of the Equilibrium Hypothesis Based on Inventories: A Communication,European Economic Review,1982,published,
duffie-stein_2015_reforming-libor-and-other-financialmarket-benchmarks,Reforming LIBOR and Other Financial-Market Benchmarks,Journal of Economic Perspectives,2015,published,
duflo)-dupas-kremer_nodate_the-impact-of-secondary-school-subsidies-on-career-trajector,The Impact of Secondary School Subsidies on Career Trajectories in a Dual Labor Market: Experimental Evidence from Ghana,,,published,
duflo)-hanna-olken-tandon_nodate_the-limits-of-government-outsourcing-property-tax-reassessme,The Limits of Government Outsourcing: Property Tax Re-Assessments in India,,,published,
duflo)-kanakamedala-mckelway-messac-obermeyer)-reginald-schilbach-schubert-selvavinayagam-vaidyantha-wang_nodate_aienhanced-handheld-ecgs-to-screen-for-prior-myocardial-infa,AI-Enhanced Handheld ECGs to Screen for Prior Myocardial Infarction in Rural India,,,published,
duflo)-udry_nodate_intrahousehold-resource-allocation-in-cote-divoire-social-no,"Intrahousehold Resource Allocation in Cote d'Ivoire: Social Norms, Separate Accounts and Consumption Choices",,,published,
duflo)_nodate_aienhanced-handheld-ecgs-to-screen-for-prior-myocardial-infa,"AI-Enhanced Handheld ECGs to Screen for Prior Myocardial Infarction in Rural India,",,,published,
duflo)_nodate_human-values-and-the-design-of-the-fight-against-poverty,Human values and the design of the fight against poverty,,,published,
duflo)_nodate_toilets-can-work-short-and-medium-run-health-impacts-of-addr,Toilets Can Work: Short and Medium Run Health Impacts of Addressing Complementarities and Externalities in Water and Sanitation,,,published,
duke-freeman-han-madland_2015_how-does-declining-unionism-affect-the-american-middle-class,"How Does Declining Unionism Affect the American Middle Class and Intergenerational Mobility?"" NBER Working Paper No. 21638 (October 2015)",,2015,working,
duke-freeman-han-madland_2016_how-does-declining-unionism-affect-the-american-middle-class,How Does Declining Unionism Affect the American Middle Class and Inter-generational Mobility?,"Federal Reserve Bank, 2015 Community Development Research Conference Publication",2016,published,
duncan-gennetian-greene-gu-katz-kessler-kling-ludwig-rickford-sanbonmatsu-sanchez-ordanez-sciandra-thomas_2015_neighborhood-effects-on-use-of-africanamerican-vernacular-en,Neighborhood Effects on Use of African-American Vernacular English,PNAS,2015,published,
duncan-gennetian-harding-katz-kessler-kling-ludwig-sanbonmatsu-sciandra_2023_evaluating-contradictory-experimental-and-nonexperimental-es,Evaluating Contradictory Experimental and Non-Experimental Estimates of Neighborhood Effects on Economic Outcomes for Adults,Housing Policy Debate,2023,published,
duncan-gennetian-katz-kessler-kling-lindau-ludwig-mcdade-sanbonmatsu-whitaker_2011_neighborhoods-obesity-and-diabetes-a-randomized-social-exper,"Neighborhoods, Obesity and Diabetes -- A Randomized Social Experiment",New England Journal of Medicine,2011,published,
duncan-gennetian-katz-kessler-kling-ludwig-sampson-sanbonmatsu-zaslavsky_2014_associations-of-housing-mobility-interventions-for-children-,Associations of Housing Mobility Interventions for Children in High-Poverty Neighborhoods with Subsequent Mental Disorders during Adolescence,JAMA,2014,published,
duncan-gennetian-katz-kessler-kling-ludwig-sanbonmatsu-sciandra_2012_the-longterm-effects-of-moving-to-opportunity-on-youth-outco,The Long-Term Effects of Moving to Opportunity on Youth Outcomes,Cityscape,2012,published,
duncan-gennetian-katz-kessler-kling-ludwig-sanbonmatsu-sciandra_2013_longterm-effects-of-the-moving-to-opportunity-residential-mo,Long-Term Effects of the Moving to Opportunity Residential Mobility Experiment on Crime and Delinquency,Journal of Experimental Criminology,2013,published,
duncan-gennetian-katz-kessler-kling-ludwig-sanbonmatsu_2012_neighborhood-effects-on-the-longterm-wellbeing-of-lowincome-,Neighborhood Effects on the Long-Term Well-Being of Low-Income Adults,Science,2012,published,
duncan-gennetian-katz-kessler-kling-ludwig-sanbonmatsu_2013_longterm-neighborhood-effects-on-lowincome-families-evidence,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,American Economic Review Papers and Proceedings,2013,published,
duncan-katz-kessler-kling-liebman-ludwig-sanbonmatsu_2008_what-can-we-learn-about-neighborhood-effects-from-the-moving,What Can We Learn about Neighborhood Effects from the Moving to Opportunity Experiment?,American Journal of Sociology,2008,published,
dunfield-liano-pascual-ezama-prelec_2015_peer-effects-in-unethical-behavior-standing-or-reputation,Peer effects in unethical behavior: Standing or reputation?,PLOSOne,2015,published,
dunfield-pascual-ezama-prelec_2013_motivation-money-prestige-and-cheats,"Motivation, Money, Prestige and Cheats",Journal of Economic Behavior and Organization,2013,published,
dur-kominers-pathak-sonmez_2018_reserve-design-unintended-consequences-and-the-demise-of-bos,Reserve Design: Unintended Consequences and The Demise of Boston's Walk Zones,Journal of Political Economy,2018,published,
dur-pathak-song-sonmez_2022_deduction-dilemmas-the-taiwan-assignment-mechanism,Deduction Dilemmas: The Taiwan Assignment Mechanism,American Economic Journal: Microeconomics,2022,published,
dur-pathak-sonmez_2020_explicit-vs-statistical-targeting-in-affirmative-action-theo,Explicit vs. Statistical Targeting in Affirmative Action: Theory and Evidence from Chicago's Exam Schools,"Journal of Economic Theory, Vol. 187: 104996",2020,published,
dutta-morris_1997_the-revelation-of-information-and-selffulfilling-beliefs,The Revelation of Information and Self-Fulfilling Beliefs,"Journal of Economic Theory 73, 231-244",1997,published,
dvir-rogoff_2014_demand-effects-and-speculation-in-oil-markets-theory-and-evi,Demand Effects and Speculation in Oil Markets: Theory and Evidence,Journal of International Money and Finance,2014,published,
ebbinghaus-freeman-garibaldi-holmund-schludi-verdier_2001_what-do-unions-do-to-the-european-welfare-states,What Do Unions Do to the European Welfare States?,Oxford University Press,2001,published,
eberly-stock-wright_2020_the-federal-reserves-current-framework-for-monetary-policy-a,The Federal Reserve's Current Framework for Monetary Policy: A Review and Assessment,International Journal of Central Banking,2020,published,
ebert-prelec_2007_the-fragility-of-time-timeinsensitivity-and-valuation-of-the,The fragility of time: Time-insensitivity and valuation of the near and far future,Management Science,2007,published,
eccles-freeman_1982_what-another-minimum-wage-study,What! Another Minimum Wage Study?,American Economic Review,1982,published,
echenique-fryer-kaufman_2006_is-school-segregation-good-or-bad,Is School Segregation Good or Bad?,American Economic Review,2006,published,
echenique-fryer_2007_a-measure-of-segregation-based-on-social-interactions,A Measure of Segregation Based on Social Interactions,Quarterly Journal of Economics,2007,published,
economics-elsevier-moscona_2026_searching-for-fish-in-trees-economic-development-when-contex,Searching for Fish in Trees? Economic Development When Context Matters,,2026,working,
edelman-gabaix_2011_a-primer-on-tractable-incentive-contracts-working-paper,A Primer on Tractable Incentive Contracts [Working Paper],,2011,working,
edmans-gabaix-jenter_2017_executive-compensation-a-survey-of-theory-and-evidence,Executive Compensation: A Survey of Theory and Evidence,"Handbook of the Economics of Corporate Governance, Chapter 9",2017,published,
edmans-gabaix-landier_2009_a-multiplicative-model-of-optimal-ceo-incentives-in-market-e,A Multiplicative Model of Optimal CEO Incentives in Market Equilibrium,Review of Financial Studies,2009,published,
edmans-gabaix-sadzik-sannikov_2012_dynamic-ceo-compensation,Dynamic CEO Compensation,Journal of Finance,2012,published,
